aX,aY,aZ,gX,gY,gZ
0.988,0.377,0.129,-0.366,69.702,7.080
0.997,0.402,0.160,-14.771,78.796,11.108
0.995,0.411,0.182,-22.583,86.487,12.146
0.990,0.403,0.200,-25.757,94.299,10.315
0.985,0.406,0.209,-26.794,103.577,6.226
1.007,0.423,0.232,-28.076,115.417,0.488
1.048,0.467,0.272,-32.410,129.639,-6.226
1.097,0.533,0.334,-40.894,144.287,-12.451
1.143,0.619,0.425,-51.392,158.997,-17.395
1.190,0.690,0.534,-55.908,172.546,-20.325
1.350,0.759,0.654,-51.147,182.556,-21.912
1.533,0.859,0.819,-39.856,187.134,-20.691
1.733,0.955,0.993,-15.076,181.396,-14.954
1.866,0.968,1.145,26.123,161.926,-2.319
1.865,0.824,1.308,73.792,128.540,16.724
1.589,0.569,1.292,115.356,80.383,36.377
1.218,0.236,1.133,130.310,23.193,50.232
0.986,-0.055,0.928,102.783,-31.738,55.298
0.861,-0.217,0.715,47.668,-78.613,47.424
0.743,-0.251,0.499,-2.136,-114.441,29.114
0.683,-0.254,0.323,-31.372,-136.292,5.676
0.641,-0.211,0.155,-50.232,-146.301,-17.273
